ticker,name,sector,market
7203.T,トヨタ自動車,輸送用機器,JP
6758.T,ソニーグループ,電気機器,JP
9984.T,ソフトバンクグループ,情報・通信,JP
6861.T,キーエンス,電気機器,JP
8306.T,三菱UFJフィナンシャル,銀行業,JP
9432.T,日本電信電話,情報・通信,JP
6594.T,日本電産（ニデック）,電気機器,JP
4063.T,信越化学工業,化学,JP
8058.T,三菱商事,卸売業,JP
7974.T,任天堂,情報・通信,JP
6902.T,デンソー,輸送用機器,JP
8316.T,三井住友フィナンシャル,銀行業,JP
9433.T,KDDI,情報・通信,JP
4519.T,中外製薬,医薬品,JP
7267.T,本田技研工業,輸送用機器,JP
6098.T,リクルートホールディングス,サービス業,JP
4502.T,武田薬品工業,医薬品,JP
9020.T,東日本旅客鉄道,陸運業,JP
8035.T,東京エレクトロン,電気機器,JP
6367.T,ダイキン工業,機械,JP
7751.T,キヤノン,電気機器,JP
4543.T,テルモ,精密機器,JP
8031.T,三井物産,卸売業,JP
6273.T,SMC,機械,JP
7741.T,HOYA,精密機器,JP
4568.T,第一三共,医薬品,JP
6501.T,日立製作所,電気機器,JP
9022.T,東海旅客鉄道,陸運業,JP
7309.T,シマノ,輸送用機器,JP
4507.T,塩野義製薬,医薬品,JP
6302.T,住友重機械工業,機械,JP
8766.T,東京海上ホールディングス,保険業,JP
5108.T,ブリヂストン,ゴム製品,JP
7733.T,オリンパス,精密機器,JP
4661.T,オリエンタルランド,サービス業,JP
3382.T,セブン&アイ・ホールディングス,小売業,JP
8267.T,イオン,小売業,JP
9983.T,ファーストリテイリング,小売業,JP
4452.T,花王,化学,JP
6702.T,富士通,情報・通信,JP
6752.T,パナソニックホールディングス,電気機器,JP
5401.T,日本製鉄,鉄鋼,JP
4901.T,富士フイルムホールディングス,化学,JP
8053.T,住友商事,卸売業,JP
2914.T,日本たばこ産業,食料品,JP
4755.T,楽天グループ,情報・通信,JP
9021.T,西日本旅客鉄道,陸運業,JP
6479.T,ミネベアミツミ,電気機器,JP
7832.T,バンダイナムコホールディングス,情報・通信,JP
3659.T,ネクソン,情報・通信,JP
4385.T,メルカリ,情報・通信,JP
3697.T,SHIFT,情報・通信,JP
6920.T,レーザーテック,電気機器,JP
6146.T,ディスコ,電気機器,JP
4980.T,デクセリアルズ,化学,JP
7735.T,SCREEN HD,電気機器,JP
6723.T,ルネサスエレクトロニクス,電気機器,JP
3923.T,ラクス,情報・通信,JP
8591.T,オリックス,その他金融,JP
8473.T,SBIホールディングス,証券業,JP
2768.T,双日,卸売業,JP
8001.T,伊藤忠商事,卸売業,JP
8002.T,丸紅,卸売業,JP
5020.T,ENEOSホールディングス,石油・石炭,JP
8750.T,第一生命ホールディングス,保険業,JP
7182.T,ゆうちょ銀行,銀行業,JP
9434.T,ソフトバンク,情報・通信,JP
6976.T,太陽誘電,電気機器,JP
6981.T,村田製作所,電気機器,JP
4704.T,トレンドマイクロ,情報・通信,JP
2413.T,エムスリー,サービス業,JP
6645.T,オムロン,電気機器,JP
4348.T,インフォコム,情報・通信,JP
4478.T,フリー,情報・通信,JP
9501.T,東京電力,電力,JP
9502.T,中部電力,電力,JP
9503.T,関西電力,電力,JP
9531.T,東京ガス,ガス,JP
9532.T,大阪ガス,ガス,JP
2502.T,アサヒグループHD,食料品,JP
2503.T,キリンHD,食料品,JP
2801.T,キッコーマン,食料品,JP
2802.T,味の素,食料品,JP
2871.T,ニチレイ,食料品,JP
2915.T,ケンコーマヨネーズ,食料品,JP
9064.T,ヤマトHD,陸運業,JP
9076.T,佐川急便(SGHD),陸運業,JP
9301.T,三菱倉庫,倉庫・運輸,JP
9302.T,三井倉庫HD,倉庫・運輸,JP
3922.T,PR TIMES,情報・通信,JP
4436.T,ミンカブ,情報・通信,JP
4053.T,Sun Asterisk,情報・通信,JP
4477.T,BASE,情報・通信,JP
4480.T,メドレー,情報・通信,JP
4384.T,ラクスル,情報・通信,JP
4431.T,スマレジ,情報・通信,JP
6619.T,ダブル・スコープ,電気機器,JP
6967.T,新光電気工業,電気機器,JP
4204.T,積水化学工業,化学,JP
4185.T,JSR,化学,JP
4187.T,大阪有機化学工業,化学,JP
4206.T,アイカ工業,化学,JP
6141.T,DMG森精機,機械,JP
6326.T,クボタ,機械,JP
6361.T,荏原製作所,機械,JP
6370.T,栗田工業,機械,JP
6988.T,日東電工,電気機器,JP
7731.T,ニコン,精密機器,JP
7732.T,トプコン,精密機器,JP
4541.T,日医工,医薬品,JP
4516.T,日本新薬,医薬品,JP
