ticker,name,sector,market
AAPL,Apple Inc.,Technology,US
MSFT,Microsoft Corp.,Technology,US
GOOGL,Alphabet Inc.,Technology,US
AMZN,Amazon.com Inc.,Consumer Discretionary,US
NVDA,NVIDIA Corp.,Technology,US
META,Meta Platforms,Technology,US
TSLA,Tesla Inc.,Consumer Discretionary,US
BRK-B,Berkshire Hathaway,Financials,US
JPM,JPMorgan Chase,Financials,US
JNJ,Johnson & Johnson,Healthcare,US
V,Visa Inc.,Financials,US
PG,Procter & Gamble,Consumer Staples,US
MA,Mastercard Inc.,Financials,US
HD,Home Depot,Consumer Discretionary,US
CVX,Chevron Corp.,Energy,US
MRK,Merck & Co.,Healthcare,US
ABBV,AbbVie Inc.,Healthcare,US
PEP,PepsiCo Inc.,Consumer Staples,US
KO,Coca-Cola Co.,Consumer Staples,US
BAC,Bank of America,Financials,US
LLY,Eli Lilly,Healthcare,US
AVGO,Broadcom Inc.,Technology,US
COST,Costco Wholesale,Consumer Staples,US
TMO,Thermo Fisher,Healthcare,US
WMT,Walmart Inc.,Consumer Staples,US
DIS,Walt Disney Co.,Communication Services,US
NFLX,Netflix Inc.,Communication Services,US
ADBE,Adobe Inc.,Technology,US
CRM,Salesforce Inc.,Technology,US
NKE,Nike Inc.,Consumer Discretionary,US
ORCL,Oracle Corp.,Technology,US
QCOM,Qualcomm Inc.,Technology,US
AMD,Advanced Micro Devices,Technology,US
CSCO,Cisco Systems,Technology,US
UNH,UnitedHealth Group,Healthcare,US
CAT,Caterpillar Inc.,Industrials,US
GE,General Electric,Industrials,US
BA,Boeing Co.,Industrials,US
MMM,3M Co.,Industrials,US
XOM,Exxon Mobil,Energy,US
VZ,Verizon Communications,Communication Services,US
PFE,Pfizer Inc.,Healthcare,US
WFC,Wells Fargo,Financials,US
GS,Goldman Sachs,Financials,US
MS,Morgan Stanley,Financials,US
USB,US Bancorp,Financials,US
AXP,American Express,Financials,US
SPG,Simon Property Group,Real Estate,US
AMT,American Tower,Real Estate,US
NEE,NextEra Energy,Utilities,US
SO,Southern Company,Utilities,US
LIN,Linde plc,Materials,US
APD,Air Products,Materials,US
FCX,Freeport-McMoRan,Materials,US
NEM,Newmont Corp.,Materials,US
MCD,McDonald's Corp.,Consumer Discretionary,US
SBUX,Starbucks Corp.,Consumer Discretionary,US
LOW,Lowe's Companies,Consumer Discretionary,US
TGT,Target Corp.,Consumer Discretionary,US
MSCI,MSCI Inc.,Financials,US
MCO,Moody's Corp.,Financials,US
ITW,Illinois Tool Works,Industrials,US
